Trace File Name	Well#	Cap#	Trace Score	Contiguous Read Length	QV20+	Signal Intensity (A)	Signal Intensity (C)	Signal Intensity (G)	Signal Intensity (T)	Comments
A_2004-08-24_18-23-44_043630_A02_017_015.ab1	A2	15	22	579	608	84	77	98	90	
A_2004-08-24_18-23-44_043630_A04_049_016.ab1	A4	16	31	932	905	360	248	247	354	
A_2004-08-24_18-23-44_043630_A06_081_031.ab1	A6	31	36	883	881	108	107	142	112	
A_2004-08-24_18-23-44_043630_A08_113_032.ab1	A8	32	31	494	457	70	89	60	94	
A_2004-08-24_18-23-44_043630_A10_145_047.ab1	A10	47	30	823	841	223	225	195	268	
A_2004-08-24_18-23-44_043630_A12_177_048.ab1	A12	48	36	936	899	239	194	206	223	
A_2004-08-24_18-23-44_043630_A14_209_063.ab1	A14	63	35	875	913	629	493	451	592	
A_2004-08-24_18-23-44_043630_A16_241_064.ab1	A16	64	40	888	908	503	323	396	444	
A_2004-08-24_18-23-44_043630_A18_273_079.ab1	A18	79	38	906	908	175	171	207	191	
A_2004-08-24_18-23-44_043630_A20_305_080.ab1	A20	80	39	909	935	303	295	286	332	
A_2004-08-24_18-23-44_043630_A22_337_095.ab1	A22	95	42	1004	954	343	343	293	349	
A_2004-08-24_18-23-44_043630_A24_369_096.ab1	A24	96	19	131	464	201	167	171	236	
A_2004-08-24_18-23-44_043630_C02_019_013.ab1	C2	13	32	839	791	171	187	254	205	
A_2004-08-24_18-23-44_043630_C04_051_014.ab1	C4	14	43	916	939	471	380	365	561	
A_2004-08-24_18-23-44_043630_C06_083_029.ab1	C6	29	38	906	914	498	365	503	537	
A_2004-08-24_18-23-44_043630_C08_115_030.ab1	C8	30	42	889	933	296	303	387	365	
A_2004-08-24_18-23-44_043630_C10_147_045.ab1	C10	45	39	851	917	576	459	473	632	
A_2004-08-24_18-23-44_043630_C12_179_046.ab1	C12	46	39	904	908	404	298	324	445	
A_2004-08-24_18-23-44_043630_C14_211_061.ab1	C14	61	40	939	939	460	312	353	449	
A_2004-08-24_18-23-44_043630_C16_243_062.ab1	C16	62	36	923	910	368	338	363	346	
A_2004-08-24_18-23-44_043630_C18_275_077.ab1	C18	77	37	811	876	155	151	126	159	
A_2004-08-24_18-23-44_043630_C20_307_078.ab1	C20	78	40	926	945	844	710	546	800	
A_2004-08-24_18-23-44_043630_C22_339_093.ab1	C22	93	42	981	965	903	593	606	846	
A_2004-08-24_18-23-44_043630_C24_371_094.ab1	C24	94	42	906	951	940	729	638	1059	
A_2004-08-24_18-23-44_043630_E02_021_011.ab1	E2	11	39	940	939	388	330	302	370	
A_2004-08-24_18-23-44_043630_E04_053_012.ab1	E4	12	42	971	948	786	430	492	827	
A_2004-08-24_18-23-44_043630_E06_085_027.ab1	E6	27	35	905	917	218	189	175	211	
A_2004-08-24_18-23-44_043630_E08_117_028.ab1	E8	28	29	860	882	383	380	398	311	
A_2004-08-24_18-23-44_043630_E10_149_043.ab1	E10	43	21	91	131	170	143	171	133	
A_2004-08-24_18-23-44_043630_E12_181_044.ab1	E12	44	36	909	892	245	202	244	221	
A_2004-08-24_18-23-44_043630_E14_213_059.ab1	E14	59	39	879	869	780	511	625	632	
A_2004-08-24_18-23-44_043630_E16_245_060.ab1	E16	60	42	890	853	416	317	343	287	
A_2004-08-24_18-23-44_043630_E18_277_075.ab1	E18	75	40	872	923	809	648	664	787	
A_2004-08-24_18-23-44_043630_E20_309_076.ab1	E20	76	40	896	927	322	238	237	300	
A_2004-08-24_18-23-44_043630_E22_341_091.ab1	E22	91	42	932	950	1051	640	473	914	
A_2004-08-24_18-23-44_043630_E24_373_092.ab1	E24	92	43	956	941	663	474	444	763	
A_2004-08-24_18-23-44_043630_G02_023_009.ab1	G2	9	43	949	934	791	564	522	885	
A_2004-08-24_18-23-44_043630_G04_055_010.ab1	G4	10	42	948	934	727	600	626	689	
A_2004-08-24_18-23-44_043630_G06_087_025.ab1	G6	25	35	827	868	116	123	125	127	
A_2004-08-24_18-23-44_043630_G08_119_026.ab1	G8	26	40	857	876	335	412	416	339	
A_2004-08-24_18-23-44_043630_G10_151_041.ab1	G10	41	38	877	864	513	479	523	415	
A_2004-08-24_18-23-44_043630_G12_183_042.ab1	G12	42	40	885	899	416	500	570	371	
